Year,Revenue,PBT,CFO,Receivables,Inventory,PAT,Total_Assets,Total_Accruals,Average_Total_Assets,Accruals_to_Assets,Cash_Conversion,Receivables_to_Sales,Inventory_to_Sales,Revenue_YoY_%,PAT_YoY_%,CFO_YoY_%,Receivables_YoY_%,Inventory_YoY_%,Flag_Positive_Accrual_Build,Flag_Receivables_Growing_Faster,Flag_Inventory_Growing_Faster
2010,4236.5,167.9,126.8,1052.4,40.6,152.8,3151.3,26.000000000000014,,,0.8298429319371727,0.24841260474448248,0.009583382509146702,,,,,,Unavailable,Unavailable,Unavailable
2011,4153.2,142.8,103.2,1094.6,71.6,138.0,3699.2,34.8,3425.25,0.01015984234727392,0.7478260869565218,0.26355581238563036,0.017239718771068092,-0.019662457217042406,-0.09685863874345557,-0.18611987381703465,0.04009882174078272,0.7635467980295565,Unavailable,True,True
2012,3666.2,164.8,-25.6,1111.5,55.3,154.9,3862.4,180.5,3780.8,0.04774121878967414,-0.16526791478373146,0.30317494953903223,0.015083737930282035,-0.1172589810266782,0.12246376811594217,-1.248062015503876,0.015439429928741255,-0.22765363128491622,Unavailable,True,False
2013,3332.6,110.6,-78.4,1212.3,48.6,106.3,3639.9,184.7,3751.15,0.0492382336083601,-0.7375352775164629,0.3637700294064694,0.014583208305827282,-0.09099339915989302,-0.3137508069722402,2.0625,0.09068825910931166,-0.12115732368896914,Unavailable,True,False
2014,3493.9,142.6,123.8,1328.0,50.1,127.5,3896.4,3.700000000000003,3768.15,0.0009819142019293293,0.9709803921568627,0.3800910157703426,0.014339277025673317,0.048400648142591374,0.19943555973659466,-2.579081632653061,0.09543842283263215,0.030864197530864113,False,False,False
2015,3950.7,155.1,73.3,1270.5,64.3,139.4,3870.1,66.10000000000001,3883.25,0.017021824502671732,0.5258249641319942,0.3215885792391222,0.016275596729693472,0.13074215060534056,0.09333333333333327,-0.4079159935379645,-0.043298192771084376,0.28343313373253487,False,False,True
2016,4394.9,146.7,73.3,1664.0,78.8,129.5,4433.1,56.2,4151.6,0.013536949609788997,0.566023166023166,0.3786206739630026,0.01792987326219027,0.11243577087604728,-0.07101865136298424,0.0,0.3097205824478553,0.22550544323483668,False,True,True
