Year,Revenue,PBT,CFO,Receivables,Inventory,PAT,Total_Assets,Total_Accruals,Average_Total_Assets,Accruals_to_Assets,Cash_Conversion,Receivables_to_Sales,Inventory_to_Sales,Revenue_YoY_%,PAT_YoY_%,CFO_YoY_%,Receivables_YoY_%,Inventory_YoY_%,Flag_Positive_Accrual_Build,Flag_Receivables_Growing_Faster,Flag_Inventory_Growing_Faster
2010,56910,3176,4745,1888,2729,2336,46023,-2409,,,2.03125,0.03317518889474609,0.047952908100509575,,,,,,False,,
2011,60931,3535,4239,2314,3162,2671,47206,-1568,46614.5,-0.03363760203370196,1.5870460501684762,0.03797738425432046,0.05189476621095994,0.0706554208399226,0.14340753424657526,-0.10663856691253948,0.22563559322033888,0.1586661780872114,False,True,True
2012,64539,3835,4408,2657,3598,2814,50781,-1594,48993.5,-0.0325349281027075,1.566453447050462,0.041168905622956664,0.05574923689552054,0.05921452134381511,0.05353800074878312,0.0398678933710781,0.14822817631806395,0.13788741302972807,False,True,True
2013,64826,1960,2837,2525,3744,120,50129,-2717,50455.0,-0.05384996531562779,23.641666666666666,0.038950421127325455,0.05775460463394317,0.0044469235655959505,-0.9573560767590619,-0.3563974591651543,-0.04968009032743692,0.04057809894385778,False,False,False
2014,63557,2259,3185,2190,3576,970,50164,-2215,50146.5,-0.04417058020001396,3.283505154639175,0.0344572588385229,0.056264455528108624,-0.019575478974485527,7.083333333333334,0.12266478674656334,-0.13267326732673268,-0.04487179487179482,False,False,False
2015,62284,-6376,484,2121,2957,-5766,44214,-6250,47189.0,-0.13244612091801056,-0.0839403399236906,0.03405368955108856,0.04747607732322908,-0.02002926506915048,-6.944329896907217,-0.8480376766091051,-0.03150684931506853,-0.17309843400447422,False,False,False
